INSTNM,CONTROL,TUITIONFEE_IN,DEBT_MDN,MD_EARN_WNE_P10,C150_4,STABBR
University of Kentucky,1,13502.0,16750.0,59025.0,0.7142,KY
Central Methodist University-College of Liberal Arts and Sciences,2,28260.0,13292.0,48991.0,0.5123,MO
Rutgers University-New Brunswick,1,17929.0,19000.0,74479.0,0.8363,NJ
Villa Maria College,2,28670.0,10511.0,38857.0,0.3145,NY
Full Sail University,3,26906.0,14038.0,38219.0,0.4433,FL
Bryan College-Dayton,2,19800.0,13000.0,54434.0,0.4974,TN
Indiana State University,1,10258.0,14574.0,48387.0,0.4288,IN
Lake Erie College,2,37634.0,13875.0,50417.0,0.3795,OH
University of Northern Colorado,1,12416.0,13805.0,52231.0,0.5124,CO
Lenoir-Rhyne University,2,31900.0,15750.0,45543.0,0.4778,NC
Pacific Rim Christian University,2,13580.0,13616.0,40523.0,0.4545,HI
Universidad Ana G. Mendez-Gurabo Campus,2,7750.0,9000.0,26223.0,0.314,PR
University of Massachusetts Global,1,12540.0,18750.0,65703.0,0.4286,CA
University of Mount Olive,2,27366.0,20811.0,47139.0,0.5178,NC
Universidad Adventista de las Antillas,2,8350.0,11725.0,28465.0,0.3636,PR
Empire State University,1,7648.0,11000.0,54080.0,0.4123,NY
Washington College,2,55326.0,21000.0,65518.0,0.6537,MD
The University of Alabama,1,12180.0,17986.0,59221.0,0.7337,AL
Georgetown College,2,42840.0,13000.0,52074.0,0.4885,KY
Olivet Nazarene University,2,38900.0,19313.0,53213.0,0.6084,IL
Bethany College,2,36765.0,23750.0,44512.0,0.4682,WV
Albizu University-San Juan,2,8505.0,5000.0,41544.0,0.6703,PR
Rockhurst University,2,44966.0,12500.0,67102.0,0.7456,MO
Wartburg College,2,26250.0,19500.0,56201.0,0.643,IA
University of Holy Cross,2,16576.0,19500.0,49316.0,0.4857,LA
Davis & Elkins College,2,31820.0,17057.0,43411.0,0.3929,WV
West Chester University of Pennsylvania,1,10775.0,18750.0,61258.0,0.7051,PA
Kent State University at Trumbull,1,7492.0,17500.0,45388.0,0.3218,OH
Dominican University New York,2,34220.0,18250.0,61171.0,0.5251,NY
Embry-Riddle Aeronautical University-Daytona Beach,2,44249.0,14250.0,84131.0,0.6655,FL
Prescott College,2,35685.0,12500.0,42359.0,0.5556,AZ
University of Alaska Fairbanks,1,8736.0,11283.0,48866.0,0.3801,AK
Gonzaga University,2,55480.0,20500.0,78892.0,0.8629,WA
Nossi College of Art and Design,3,20350.0,17708.0,35113.0,0.418,TN
Colorado School of Mines,1,21914.0,17500.0,97335.0,0.8171,CO
Chadron State College,1,8290.0,11343.0,47002.0,0.5041,NE
Illinois Institute of Technology,2,52386.0,20687.0,82592.0,0.7521,IL
Massachusetts College of Liberal Arts,1,12436.0,15750.0,48102.0,0.5564,MA
Saint Francis University,2,44000.0,27000.0,62101.0,0.7439,PA
Muskingum University,2,32665.0,16750.0,48440.0,0.5637,OH
Morgan State University,1,8229.0,19500.0,50698.0,0.4087,MD
Baker University,2,35300.0,18530.0,63855.0,0.5779,KS
Georgia Institute of Technology-Main Campus,1,12058.0,20000.0,102772.0,0.9402,GA
Oakland City University,2,27900.0,12174.0,43283.0,0.6552,IN
Arizona State University Campus Immersion,1,12223.0,13610.0,62668.0,0.6804,AZ
Bloomfield College of Montclair State University,1,15912.0,17500.0,61415.0,0.3811,NJ
North Central State College,1,4624.0,4500.0,38158.0,0.3606,OH
Oregon State University,1,14400.0,15000.0,64010.0,0.7011,OR
Hampton University,2,30592.0,19500.0,59159.0,0.5716,VA
Strayer University-Maryland,3,13920.0,14000.0,40092.0,0.375,MD
Maine College of Art & Design,2,42942.0,19000.0,40778.0,0.5155,ME
Northwestern Oklahoma State University,1,5970.0,11000.0,44358.0,0.3035,OK
Pacific College of Health and Science,3,15804.0,9500.0,26209.0,0.5556,NY
University of Washington-Tacoma Campus,1,13168.0,12375.0,78466.0,0.6324,WA
Southwest Minnesota State University,1,10361.0,14250.0,51342.0,0.451,MN
Montana State University-Northern,1,6982.0,10560.0,49505.0,0.4111,MT
Kettering University,2,48470.0,26563.0,94823.0,0.708,MI
Orion Technical College,3,15600.0,9500.0,37008.0,0.8065,IA
University of Dallas,2,53930.0,18478.0,58285.0,0.7307,TX
Saint Mary's University of Minnesota,2,45080.0,16099.0,58170.0,0.6601,MN
University of Louisiana at Lafayette,1,10418.0,14991.0,47089.0,0.5263,LA
Youngstown State University,1,11113.0,15750.0,41544.0,0.5048,OH
Bushnell University,2,35800.0,15633.0,53623.0,0.56,OR
Cambridge College of Healthcare & Technology,3,18168.0,14656.0,28190.0,0.4722,FL
University of Providence,2,30448.0,12500.0,48296.0,0.2794,MT
The College of Westchester,3,25191.0,16875.0,42215.0,0.3765,NY
University of Puerto Rico-Utuado,1,5354.0,3500.0,23906.0,0.2326,PR
Saint Peter's University,2,42552.0,16091.0,57815.0,0.5826,NJ
North Park University,2,36710.0,19875.0,59572.0,0.5772,IL
Monroe University,3,18464.0,12672.0,41236.0,0.5655,NY
Brown University,2,71412.0,10000.0,93487.0,0.9569,RI
The University of Texas Rio Grande Valley,1,9987.0,9593.0,49620.0,0.509,TX
Oregon Institute of Technology,1,13260.0,15625.0,72273.0,0.5378,OR
Colby-Sawyer College,2,19125.0,19500.0,46474.0,0.5745,NH
University of North Carolina Asheville,1,7501.0,14138.0,44030.0,0.5448,NC
Oakland University,1,15262.0,16787.0,58612.0,0.5756,MI
Bard College at Simon's Rock,2,68780.0,19000.0,46543.0,0.6828,MA
Marian University,2,35178.0,17340.0,53501.0,0.4416,WI
Cabarrus College of Health Sciences,2,16550.0,11499.0,58708.0,0.7143,NC
Hillsborough Community College,1,2506.0,6000.0,40782.0,0.3418,FL
Centre College,2,52820.0,25125.0,66240.0,0.8067,KY
University of Wisconsin-Eau Claire,1,9642.0,13000.0,58561.0,0.6381,WI
