INSTNM,CONTROL,TUITIONFEE_IN,DEBT_MDN,MD_EARN_WNE_P10,C150_4,STABBR
Cedarville University,2,37150.0,17500.0,55443.0,0.7253,OH
Bowling Green State University-Main Campus,1,14460.0,17500.0,47896.0,0.6373,OH
California State University-San Bernardino,1,8093.0,12445.0,59977.0,0.549,CA
New College of Florida,1,6916.0,12000.0,48082.0,0.6667,FL
University of Northern Iowa,1,9936.0,16486.0,55177.0,0.6792,IA
College of Our Lady of the Elms,2,43325.0,20500.0,51540.0,0.6809,MA
Colgate University,2,70306.0,13000.0,85139.0,0.9117,NY
Los Angeles College of Music,3,30540.0,17521.0,31758.0,0.4127,CA
Rasmussen University-North Dakota,3,13957.0,13000.0,39080.0,0.2857,ND
Mount Holyoke College,2,67018.0,18258.0,58418.0,0.8439,MA
Chowan University,2,27910.0,15250.0,38412.0,0.2995,NC
University of North Carolina Wilmington,1,7277.0,15178.0,54967.0,0.7059,NC
Langston University,1,6863.0,11664.0,33261.0,0.1684,OK
Hope College,2,41970.0,23250.0,58427.0,0.7995,MI
University of Idaho,1,9084.0,15784.0,54670.0,0.5728,ID
University of Hawaii at Hilo,1,7838.0,12500.0,47856.0,0.4837,HI
Metropolitan State University of Denver,1,11124.0,12500.0,52093.0,0.3154,CO
Bryn Athyn College of the New Church,2,28917.0,13500.0,40457.0,0.6774,PA
Mount Saint Mary College,2,43450.0,22250.0,67705.0,0.6546,NY
South University-Savannah,3,18145.0,13000.0,34421.0,0.0909,GA
Huntington University,2,31870.0,18127.0,46672.0,0.636,IN
University of Pittsburgh-Pittsburgh Campus,1,21926.0,20500.0,66125.0,0.855,PA
Indiana University of Pennsylvania-Main Campus,1,11380.0,19995.0,51019.0,0.5551,PA
Glendale Community College,1,2358.0,4500.0,43108.0,0.1598,AZ
California State University-Los Angeles,1,7160.0,11966.0,59211.0,0.5298,CA
Andrew College,2,19604.0,9500.0,38475.0,0.3281,GA
Dartmouth College,2,68268.0,15157.0,97434.0,0.9554,NH
Jacksonville University,2,47830.0,12803.0,68010.0,0.5065,FL
Skyline College,1,1272.0,7500.0,55702.0,0.443,CA
Amridge University,2,7590.0,13385.0,37621.0,1.0,AL
Macalester College,2,68104.0,19500.0,63878.0,0.871,MN
Lake Forest College,2,56402.0,21500.0,61825.0,0.7778,IL
Grace Christian University,2,18690.0,9500.0,41663.0,0.5104,MI
Union Adventist University,2,29334.0,18750.0,55045.0,0.5226,NE
Hampden-Sydney College,2,54550.0,19500.0,67640.0,0.6217,VA
Saint Augustine's University,2,16896.0,12750.0,35730.0,0.25,NC
Coppin State University,1,7100.0,15606.0,46490.0,0.2622,MD
Belmont Abbey College,2,19500.0,14560.0,47937.0,0.4668,NC
University of Akron Main Campus,1,13135.0,15250.0,46600.0,0.5186,OH
University of Oklahoma-Norman Campus,1,9797.0,15500.0,63126.0,0.7533,OK
Missouri State University-Springfield,1,9502.0,16200.0,49827.0,0.5791,MO
Neumann University,2,39100.0,19630.0,57817.0,0.5368,PA
Dakota Wesleyan University,2,33790.0,19500.0,53728.0,0.4832,SD
Goshen College,2,38890.0,13750.0,51943.0,0.65,IN
Christopher Newport University,1,16828.0,19500.0,60509.0,0.7164,VA
State University of New York at Cortland,1,8874.0,17500.0,60236.0,0.6803,NY
Arlington Baptist University,2,20830.0,9500.0,44644.0,0.1944,TX
CUNY John Jay College of Criminal Justice,1,7470.0,9250.0,56195.0,0.5583,NY
SUNY College at Geneseo,1,8999.0,14836.0,67316.0,0.7145,NY
Inter American University of Puerto Rico-Guayama,2,5780.0,6775.0,25827.0,0.4421,PR
Stephen F Austin State University,1,11128.0,17750.0,49634.0,0.5333,TX
Harris-Stowe State University,1,7008.0,13500.0,31088.0,0.2756,MO
University of Kansas,1,12102.0,15500.0,61945.0,0.6881,KS
Avila University,2,42000.0,19230.0,52773.0,0.5238,MO
Ozark Christian College,2,16000.0,9784.0,41297.0,0.6364,MO
Utica University,2,26930.0,17538.0,63277.0,0.5624,NY
Bellin College,2,30952.0,15000.0,76222.0,0.6304,WI
University of Connecticut-Stamford,1,18150.0,18610.0,73997.0,0.5654,CT
University of Missouri-Kansas City,1,12587.0,14835.0,59637.0,0.5546,MO
Sterling College,2,33700.0,12000.0,45846.0,0.4129,KS
Virginia Military Institute,1,21046.0,19000.0,77369.0,0.7621,VA
South University-Savannah Online,3,18145.0,13000.0,34421.0,0.0689,GA
Welch College,2,21400.0,11375.0,42198.0,0.5342,TN
Purdue University Global,1,10101.0,11648.0,36596.0,0.5,IN
Barry University,2,34350.0,15750.0,55966.0,0.3787,FL
John Paul the Great Catholic University,2,30265.0,21500.0,56930.0,0.6386,CA
SUNY College of Environmental Science and Forestry,1,9303.0,13000.0,55763.0,0.6632,NY
Herzing University-Minneapolis,2,13450.0,11756.0,36909.0,0.4667,MN
Lincoln University,2,13150.0,12500.0,53695.0,1.0,CA
University of Georgia,1,11450.0,16666.0,68726.0,0.8969,GA
Pennsylvania State University-World Campus,1,15356.0,19500.0,63435.0,0.3415,PA
University of Northwestern-St Paul,2,37920.0,17750.0,50755.0,0.6813,MN
Utah Tech University,1,6306.0,7191.0,44570.0,0.3839,UT
University of Baltimore,1,9992.0,18972.0,61335.0,0.3816,MD
Oral Roberts University,2,35470.0,20250.0,46885.0,0.5683,OK
Ave Maria University,2,30198.0,12000.0,49520.0,0.5394,FL
Rust College,2,13265.0,13777.0,32275.0,0.1179,MS
University of Massachusetts-Lowell,1,16966.0,18250.0,64874.0,0.6482,MA
Ursinus College,2,61210.0,26000.0,73721.0,0.7328,PA
Wheaton College,2,45546.0,20000.0,63756.0,0.8475,IL
University of Southern Maine,1,11284.0,12887.0,49958.0,0.4035,ME
Dean College,2,46526.0,12000.0,38109.0,0.5359,MA
Seattle University,2,56721.0,16658.0,75272.0,0.7551,WA
Marist University,2,47750.0,21500.0,77819.0,0.796,NY
Barnard College,2,69888.0,15750.0,80516.0,0.9302,NY
Polk State College,1,2694.0,6500.0,40624.0,0.3534,FL
King University,2,36194.0,18000.0,59831.0,0.4787,TN
Washington Adventist University,2,26604.0,22750.0,64249.0,0.2865,MD
Commonwealth University of Pennsylvania,1,11046.0,19500.0,52416.0,0.5448,PA
Boston Architectural College,2,27470.0,24750.0,62123.0,0.3158,MA
North Carolina Central University,1,6699.0,22000.0,42968.0,0.4165,NC
California State University-Chico,1,8472.0,14500.0,64172.0,0.6278,CA
Vanguard University of Southern California,2,41700.0,15000.0,59541.0,0.5677,CA
CUNY Bernard M Baruch College,1,7464.0,10000.0,75971.0,0.7212,NY
University of New Mexico-Main Campus,1,10140.0,13698.0,44792.0,0.5469,NM
Greenville University,2,32200.0,15000.0,46827.0,0.3982,IL
Shasta College,1,1197.0,9500.0,39269.0,0.2326,CA
Rasmussen University-Minnesota,3,11490.0,13000.0,39080.0,0.5349,MN
Niagara University,2,39345.0,20312.0,56196.0,0.7451,NY
Lesley University,2,34256.0,15000.0,51173.0,0.5802,MA
Lourdes University,2,29500.0,19000.0,48150.0,0.3246,OH
Warner University,2,29992.0,13000.0,46086.0,0.4213,FL
Marietta College,2,39652.0,12000.0,57180.0,0.6138,OH
Murray State University,1,9900.0,15000.0,44737.0,0.6132,KY
SUNY College of Technology at Canton,1,8742.0,12500.0,47860.0,0.3845,NY
Universidad Central de Bayamon,2,5986.0,7250.0,25021.0,0.3438,PR
Pennsylvania Western University,1,11436.0,16750.0,47295.0,0.5188,PA
Messiah University,2,42240.0,21911.0,54064.0,0.7496,PA
South College,3,18535.0,9500.0,36642.0,0.4211,TN
Defiance College,2,29320.0,11000.0,49351.0,0.3057,OH
Hood College,2,47700.0,18185.0,57089.0,0.569,MD
John Brown University,2,31756.0,17000.0,53907.0,0.7179,AR
Chicago State University,1,12754.0,21500.0,42778.0,0.1549,IL
University of Nebraska at Kearney,1,8676.0,13070.0,50105.0,0.5774,NE
College of Staten Island CUNY,1,7490.0,8846.0,53501.0,0.3393,NY
Amherst College,2,70480.0,12000.0,77644.0,0.939,MA
Chamberlain University-Nevada,3,19975.0,16458.0,92405.0,0.2,NV
Virginia Commonwealth University,1,16945.0,17021.0,58128.0,0.6318,VA
Crowley's Ridge College,2,16670.0,13918.0,39533.0,0.3585,AR
University of Colorado Denver/Anschutz Medical Campus,1,10383.0,14500.0,64270.0,0.4615,CO
Pomona College,2,65420.0,10000.0,77779.0,0.932,CA
Concordia University Ann Arbor,2,35410.0,19500.0,56075.0,0.4764,MI
Heidelberg University,2,33650.0,20500.0,48466.0,0.5198,OH
University of Michigan-Flint,1,14704.0,18494.0,53230.0,0.4031,MI
Ursuline College,2,38990.0,21938.0,56878.0,0.6667,OH
Ouachita Baptist University,2,34500.0,15000.0,51673.0,0.614,AR
Rockford University,2,37780.0,15000.0,54794.0,0.472,IL
Evangel University-College of Online Learning,2,8175.0,17495.0,46573.0,0.5,MO
Purdue University-Main Campus,1,9992.0,15000.0,72424.0,0.831,IN
South University-West Palm Beach,3,18145.0,13000.0,34421.0,0.1818,FL
Central Michigan University,1,14760.0,23183.0,55874.0,0.5872,MI
West Los Angeles College,1,1238.0,9500.0,38537.0,0.2789,CA
Hesston College,2,32936.0,12000.0,47495.0,0.6061,KS
Connecticut College,2,67242.0,20000.0,75001.0,0.8205,CT
Grand Canyon University,3,17850.0,12500.0,42186.0,0.4346,AZ
University of Michigan-Dearborn,1,15640.0,17000.0,59649.0,0.5798,MI
University of Maine at Presque Isle,1,9402.0,8275.0,40956.0,0.5155,ME
Gettysburg College,2,66640.0,23250.0,71517.0,0.8253,PA
Brevard College,2,32280.0,11250.0,43545.0,0.4884,NC
Longy School of Music of Bard College,2,55275.0,19000.0,46543.0,0.7778,MA
University of Wisconsin-River Falls,1,9008.0,14865.0,54458.0,0.57,WI
St Bonaventure University,2,41735.0,19500.0,57214.0,0.6673,NY
Eastern Illinois University,1,13679.0,15722.0,51989.0,0.4736,IL
Culver-Stockton College,2,30875.0,15000.0,46092.0,0.3916,MO
West Virginia Wesleyan College,2,34090.0,15750.0,51593.0,0.5714,WV
DeVry University-Florida,3,17408.0,12805.0,45987.0,0.3333,FL
Judson University,2,31360.0,14000.0,56313.0,0.5987,IL
Lipscomb University,2,40572.0,15350.0,55541.0,0.7216,TN
Palm Beach Atlantic University,2,40650.0,13816.0,49232.0,0.5534,FL
Charleston Southern University,2,32520.0,18250.0,45898.0,0.4724,SC
Madonna University,2,28440.0,19000.0,59058.0,0.6,MI
Columbia International University,2,27900.0,10500.0,38951.0,0.4679,SC
North Central University,2,32220.0,16750.0,45064.0,0.6634,MN
Skidmore College,2,67290.0,15000.0,69363.0,0.8257,NY
Florida National University-Main Campus,3,17368.0,16492.0,33928.0,0.3119,FL
Cornell University,2,69314.0,13000.0,104043.0,0.9538,NY
North Greenville University,2,25800.0,15000.0,43035.0,0.5453,SC
Clarke University,2,40910.0,19500.0,55396.0,0.5612,IA
Indiana University-Kokomo,1,8424.0,10000.0,49917.0,0.4561,IN
Fairfield University,2,58350.0,23251.0,88794.0,0.843,CT
Stanford University,2,65910.0,9851.0,124080.0,0.9192,CA
Gardner-Webb University,2,34760.0,16453.0,48039.0,0.5539,NC
Gnomon,3,37635.0,28332.0,114785.0,1.0,CA
Northwestern University,2,68322.0,14000.0,89363.0,0.9513,IL
Bryan University,3,15868.0,16999.0,28725.0,0.8958,MO
University of South Carolina-Columbia,1,12688.0,18500.0,62177.0,0.7882,SC
DeVry University-Illinois,3,17408.0,12805.0,45987.0,0.3657,IL
Messenger College,2,11620.0,27000.0,29463.0,1.0,TX
Berry College,2,41686.0,18900.0,53800.0,0.6949,GA
Northwest College,1,4962.0,6500.0,36950.0,0.4866,WY
Ohio Dominican University,2,35720.0,16557.0,51748.0,0.4102,OH
Huertas College,3,8750.0,6625.0,22927.0,0.4559,PR
Bemidji State University,1,10237.0,13809.0,53755.0,0.4787,MN
Tyler Junior College,1,2400.0,6500.0,38140.0,0.2739,TX
The College of the Florida Keys,1,3276.0,8250.0,42508.0,0.3413,FL
Whatcom Community College,1,5115.0,8000.0,44092.0,0.3639,WA
Cox College,2,14822.0,18000.0,56867.0,1.0,MO
Kent State University at Stark,1,7492.0,17500.0,45388.0,0.3672,OH
Johnson & Wales University-Online,2,13365.0,16334.0,43418.0,0.0,RI
Walla Walla University,2,34227.0,19306.0,61885.0,0.599,WA
Pikes Peak State College,1,4510.0,4900.0,40796.0,0.2058,CO
University of San Diego,2,59486.0,19019.0,86522.0,0.8367,CA
University of South Carolina Beaufort,1,10730.0,13750.0,48088.0,0.3399,SC
Great Basin College,1,3923.0,8973.0,39289.0,0.4086,NV
ECPI University,3,18484.0,13915.0,42837.0,0.4246,VA
CUNY Medgar Evers College,1,7352.0,7400.0,46498.0,0.1977,NY
Coastal Carolina University,1,11640.0,16979.0,47258.0,0.4846,SC
Southwestern Oklahoma State University,1,8469.0,11750.0,45744.0,0.3969,OK
Trevecca Nazarene University,2,31300.0,14750.0,49378.0,0.5315,TN
Georgia State University,1,8664.0,11750.0,47384.0,0.5306,GA
Troy University,1,10176.0,15985.0,42062.0,0.503,AL
University of Dubuque,2,42095.0,17070.0,51190.0,0.4008,IA
State University of New York at Plattsburgh,1,9035.0,15000.0,56403.0,0.5851,NY
Christian Brothers University,2,38420.0,17589.0,57478.0,0.5471,TN
Utah State University,1,9228.0,9500.0,54022.0,0.5913,UT
Menlo College,2,53630.0,13000.0,76419.0,0.535,CA
Jackson College,1,7350.0,8750.0,36898.0,0.159,MI
Universidad Ana G. Mendez-Cupey Campus,2,7750.0,10006.0,24490.0,0.3085,PR
The University of Tennessee Southern,1,10924.0,11175.0,38924.0,0.369,TN
The University of Montana,1,8552.0,15000.0,44511.0,0.4796,MT
Guilford College,2,41362.0,15448.0,47590.0,0.4581,NC
Shippensburg University of Pennsylvania,1,13720.0,16192.0,56351.0,0.557,PA
Geneva College,2,33450.0,18907.0,50004.0,0.6098,PA
Belmont University,2,42540.0,17500.0,55930.0,0.7066,TN
Grace College and Theological Seminary,2,31200.0,16750.0,45411.0,0.6877,IN
Williams College,2,68560.0,11667.0,88665.0,0.9361,MA
State University of New York at New Paltz,1,8572.0,15000.0,58073.0,0.716,NY
Freed-Hardeman University,2,25620.0,16750.0,47485.0,0.7078,TN
St. Francis College,2,28775.0,12693.0,58099.0,0.5464,NY
Sweet Briar College,2,26160.0,21000.0,51943.0,0.5182,VA
Harvard University,2,61676.0,12500.0,101817.0,0.9758,MA
Norfolk State University,1,10180.0,17277.0,44666.0,0.385,VA
Dominican University,2,38978.0,18750.0,60327.0,0.5526,IL
University of West Alabama,1,10990.0,13000.0,44232.0,0.347,AL
Goldey-Beacom College,2,14940.0,14375.0,59892.0,0.5743,DE
University of Vermont,1,19058.0,17500.0,62472.0,0.7859,VT
Shenandoah University,2,36950.0,19500.0,58433.0,0.6682,VA
Cleveland Institute of Music,2,52880.0,18500.0,32641.0,0.7213,OH
Pitzer College,2,65192.0,13000.0,69512.0,0.8339,CA
Clark Atlanta University,2,28310.0,19500.0,42712.0,0.4902,GA
Inter American University of Puerto Rico-Fajardo,2,5780.0,5500.0,23132.0,0.3767,PR
University of Redlands,2,60878.0,21250.0,72690.0,0.6727,CA
Salve Regina University,2,50100.0,27000.0,72975.0,0.7688,RI
Dickinson State University,1,9118.0,11960.0,50720.0,0.506,ND
Everett Community College,1,5032.0,6148.0,45434.0,0.3662,WA
Potomac State College of West Virginia University,1,5280.0,15500.0,55939.0,0.3096,WV
Valley City State University,1,8514.0,11761.0,52725.0,0.5333,ND
Northeastern University,2,66162.0,22000.0,92538.0,0.9054,MA
Elmhurst University,2,42955.0,15000.0,61462.0,0.7,IL
Clark State College,1,4393.0,6899.0,39584.0,0.2176,OH
Grand View University,2,34762.0,15097.0,52824.0,0.5399,IA
University of Maryland Eastern Shore,1,9076.0,18500.0,47697.0,0.3533,MD
East Tennessee State University,1,10472.0,14400.0,44859.0,0.5321,TN
Southern Nazarene University,2,31190.0,17337.0,54951.0,0.5051,OK
St. Thomas Aquinas College,2,39450.0,17500.0,62909.0,0.5404,NY
Davenport University,2,24466.0,17353.0,45099.0,0.5659,MI
Concordia University-Nebraska,2,40640.0,18750.0,52415.0,0.6489,NE
The Evergreen State College,1,9264.0,15000.0,45320.0,0.4074,WA
University of Arizona,1,13926.0,13750.0,59979.0,0.6752,AZ
Spartan College of Aeronautics and Technology,3,20940.0,14726.0,49944.0,0.5139,OK
Colorado Mountain College,1,2616.0,5500.0,44127.0,0.2737,CO
American InterContinental University-Houston,3,14829.0,9500.0,36144.0,0.0455,TX
Strayer University-Florida,3,13920.0,14000.0,40092.0,1.0,FL
Grand Valley State University,1,15140.0,19500.0,56118.0,0.6701,MI
Strayer University-Global Region,3,13920.0,14000.0,40092.0,0.1429,DC
University of the Pacific,2,57080.0,17653.0,78445.0,0.6905,CA
Colorado Christian University,2,41342.0,14000.0,50416.0,0.6441,CO
New Mexico State University-Main Campus,1,8183.0,10250.0,39067.0,0.5517,NM
Chamberlain University-Florida,3,19975.0,16458.0,92405.0,0.3333,FL
Missouri Southern State University,1,8960.0,11650.0,42620.0,0.4158,MO
Central Christian College of the Bible,2,12200.0,10125.0,34675.0,0.2195,MO
Pennsylvania State University-Penn State Altoona,1,15972.0,19500.0,63435.0,0.165,PA
William Peace University,2,34176.0,15145.0,46643.0,0.4481,NC
University of Minnesota-Twin Cities,1,17214.0,16727.0,69020.0,0.8528,MN
University of Denver,2,61398.0,18000.0,71155.0,0.756,CO
Delaware State University,1,10670.0,17500.0,49307.0,0.391,DE
Georgia Gwinnett College,1,4532.0,9000.0,47730.0,0.2147,GA
SUNY College of Technology at Alfred,1,8892.0,12000.0,50445.0,0.5506,NY
Rio Salado College,1,2358.0,4375.0,41015.0,0.0851,AZ
University of Virginia's College at Wise,1,11780.0,10695.0,45325.0,0.4706,VA
SUNY College of Technology at Delhi,1,8772.0,12000.0,51629.0,0.4543,NY
Eastern Florida State College,1,2496.0,8279.0,37195.0,0.5208,FL
Bethel College-North Newton,2,35014.0,12000.0,49898.0,0.4112,KS
Los Angeles Mission College,1,1238.0,10432.0,39834.0,0.2003,CA
Kansas Wesleyan University,2,34630.0,15000.0,51152.0,0.4863,KS
Drexel University,2,62412.0,20204.0,84648.0,0.7816,PA
Unity Environmental University,2,12640.0,4752.0,37852.0,0.2867,ME
Columbus State University,1,5898.0,15000.0,44544.0,0.4176,GA
The University of Findlay,2,41164.0,19500.0,56996.0,0.5786,OH
Thomas More College of Liberal Arts,2,30400.0,22475.0,53565.0,0.625,NH
Bates Technical College,1,6027.0,5563.0,50051.0,0.4337,WA
Pacific Northwest College of Art,2,49006.0,10500.0,34883.0,0.2913,OR
Felician University,2,39300.0,19250.0,57602.0,0.4722,NJ
University of California-Riverside,1,15606.0,14944.0,67699.0,0.7596,CA
Nebraska Methodist College of Nursing & Allied Health,2,17885.0,21784.0,65071.0,0.5952,NE
Johnson & Wales University-Charlotte,2,42419.0,16334.0,43418.0,0.4897,NC
Union University,2,40025.0,16666.0,53990.0,0.6596,TN
Mercer University,2,42312.0,17655.0,58354.0,0.6962,GA
Edward Waters University,2,16366.0,11000.0,34782.0,0.2819,FL
Furman University,2,59770.0,19500.0,68635.0,0.7876,SC
Knox College,2,57903.0,23852.0,54820.0,0.6773,IL
University of Pikeville,2,24850.0,12467.0,48231.0,0.4167,KY
Midland University,2,42050.0,15000.0,52163.0,0.4212,NE
New York Institute of Technology,2,46560.0,17000.0,70080.0,0.5877,NY
William & Mary,1,25914.0,15500.0,73490.0,0.8942,VA
Wake Forest University,2,67642.0,19500.0,78158.0,0.8915,NC
Stony Brook University,1,10931.0,15000.0,74502.0,0.7556,NY
CUNY New York City College of Technology,1,7332.0,7000.0,49365.0,0.2147,NY
La Salle University,2,37800.0,17500.0,67416.0,0.5712,PA
Saint Johns River State College,1,2591.0,8323.0,41728.0,0.4888,FL
Rose State College,1,5030.0,5500.0,37555.0,0.2,OK
New York College of Health Professions,2,16395.0,17644.0,31601.0,0.5,NY
University of California-Davis,1,16774.0,11000.0,80838.0,0.8567,CA
Xavier University,2,50640.0,18750.0,64873.0,0.6865,OH
Pennsylvania State University-Main Campus,1,20644.0,19500.0,63435.0,0.8609,PA
College of Charleston,1,12978.0,17500.0,56416.0,0.6583,SC
Wright State University-Main Campus,1,11522.0,15854.0,49500.0,0.4169,OH
Pennsylvania State University-Penn State Fayette- Eberly,1,14408.0,19500.0,63435.0,0.3862,PA
Northwestern College,2,36710.0,16791.0,49802.0,0.6605,IA
Iowa State University,1,10787.0,18750.0,63386.0,0.7532,IA
Lee University,2,23790.0,19500.0,43222.0,0.6259,TN
Beacon College,2,51680.0,18500.0,29420.0,0.6023,FL
Assumption University,2,51356.0,24250.0,74895.0,0.7523,MA
St. John Fisher University,2,41190.0,19500.0,66944.0,0.7417,NY
Arizona Christian University,2,35098.0,6251.0,51612.0,0.3987,AZ
Strayer University-Mississippi,3,13920.0,14000.0,40092.0,0.0,MS
The University of Montana-Western,1,6670.0,12000.0,43229.0,0.5125,MT
University of Wisconsin-Green Bay,1,8700.0,11250.0,52528.0,0.4822,WI
Erskine College,2,36710.0,9500.0,53459.0,0.4518,SC
West Texas A & M University,1,9101.0,12620.0,50741.0,0.5504,TX
Pace University,2,53290.0,17750.0,70378.0,0.6003,NY
Stevenson University,2,40560.0,21500.0,62079.0,0.6849,MD
Columbia College,2,22214.0,14750.0,41338.0,0.3688,SC
East Carolina University,1,7361.0,17500.0,55146.0,0.6262,NC
Oglethorpe University,2,47590.0,14750.0,55232.0,0.541,GA
University of Colorado Boulder,1,15666.0,13000.0,69738.0,0.7419,CO
American InterContinental University System,3,12397.0,9500.0,36144.0,0.0851,AZ
Pittsburg State University,1,8400.0,14000.0,50579.0,0.5659,KS
Keene State College,1,14784.0,19500.0,54368.0,0.6006,NH
Jacksonville State University,1,12894.0,14000.0,45235.0,0.5472,AL
Fitchburg State University,1,11346.0,18220.0,53874.0,0.5512,MA
Westminster College,2,35214.0,19463.0,52199.0,0.5549,MO
Kuyper College,2,27660.0,16304.0,41066.0,0.5,MI
University of Mount Saint Vincent,2,44540.0,18500.0,65756.0,0.5683,NY
AdventHealth University,2,21420.0,18000.0,72282.0,0.3889,FL
University of North Texas,1,11309.0,14000.0,57010.0,0.6071,TX
Tennessee State University,1,8616.0,17500.0,42730.0,0.3399,TN
City College-Hollywood,3,18615.0,15285.0,34938.0,0.8667,FL
Drury University-College of Continuing Professional Studies,2,8054.0,13000.0,40694.0,0.4324,MO
Briar Cliff University,2,36956.0,15506.0,54475.0,0.4751,IA
Midwestern Baptist Theological Seminary,2,10120.0,9995.0,50535.0,0.4828,MO
Metropolitan College of New York,2,20188.0,20000.0,46236.0,0.4,NY
Sterling College,2,40760.0,13625.0,30573.0,0.3158,VT
California College of ASU,2,25186.0,13167.0,42014.0,0.3723,CA
University of Wisconsin-Madison,1,11603.0,18058.0,73792.0,0.8955,WI
Indiana University-Northwest,1,8424.0,12478.0,43361.0,0.3738,IN
Saginaw Valley State University,1,12930.0,17500.0,51955.0,0.4825,MI
The University of the South,2,56120.0,17750.0,64911.0,0.7979,TN
Wofford College,2,56005.0,20500.0,68964.0,0.842,SC
Wilkes University,2,43496.0,20500.0,63454.0,0.6317,PA
College of the Holy Cross,2,64500.0,25879.0,90543.0,0.8733,MA
Albizu University-Miami,2,13818.0,5000.0,41544.0,0.4,FL
Howard Payne University,2,34982.0,11892.0,48376.0,0.2798,TX
University of Northwestern Ohio,2,13875.0,12000.0,50968.0,0.5402,OH
Smith Chason College,3,19040.0,16640.0,58004.0,0.7194,CA
Tennessee Wesleyan University,2,30814.0,14000.0,45989.0,0.4759,TN
Bethel University,2,18712.0,16750.0,47482.0,0.3505,TN
Cambridge College of Healthcare & Technology,3,18168.0,11125.0,47792.0,0.7647,FL
Life University,2,15036.0,9500.0,47397.0,0.3793,GA
Pratt Institute-Main,2,61845.0,20500.0,54295.0,0.7354,NY
University of Rhode Island,1,16942.0,17750.0,69743.0,0.7331,RI
Saint Martin's University,2,45510.0,15625.0,62092.0,0.519,WA
Immaculata University,2,29330.0,19560.0,75701.0,0.7104,PA
American Musical and Dramatic Academy,2,46928.0,12000.0,26975.0,0.7164,NY
Clinton College,2,11136.0,12000.0,30180.0,0.1405,SC
Santa Ana College,1,1180.0,5500.0,43552.0,0.3085,CA
EDP University of Puerto Rico Inc-San Sebastian,2,7050.0,10500.0,22844.0,0.287,PR
Texas A & M International University,1,7894.0,11000.0,48386.0,0.4647,TX
University of Pittsburgh-Johnstown,1,14906.0,20500.0,66125.0,0.5582,PA
Saint Xavier University,2,37940.0,16699.0,58656.0,0.5661,IL
Augsburg University,2,45452.0,19500.0,58829.0,0.5167,MN
Yeshiva University,2,51800.0,14000.0,71353.0,0.832,NY
Pensacola State College,1,2361.0,5500.0,36739.0,0.3642,FL
University of St Thomas,2,34634.0,12548.0,59224.0,0.6877,TX
Southern California Institute of Technology,3,20515.0,10651.0,53598.0,0.7404,CA
Lackawanna College,2,18400.0,11500.0,41000.0,0.3673,PA
Springfield College,2,45174.0,23000.0,48036.0,0.7419,MA
Pennsylvania State University-Penn State Greater Allegheny,1,14408.0,19500.0,63435.0,0.1897,PA
Texas Woman's University,1,8640.0,14000.0,56544.0,0.4906,TX
McDaniel College,2,52081.0,15000.0,60663.0,0.6329,MD
Northwest Vista College,1,3412.0,5500.0,42490.0,0.3198,TX
Carroll College,2,41484.0,21000.0,61772.0,0.6929,MT
Northeastern Illinois University,1,12383.0,11969.0,52234.0,0.2165,IL
California State University Maritime Academy,1,9944.0,16889.0,94784.0,0.5972,CA
Regent University,2,21650.0,11000.0,44498.0,0.5692,VA
Winston-Salem State University,1,6126.0,18447.0,45344.0,0.4668,NC
Trinity College of Florida,2,16300.0,12000.0,32465.0,0.0,FL
Academy College,3,18680.0,16500.0,48300.0,0.36,MN
Columbia College Chicago,2,34088.0,16500.0,42195.0,0.5155,IL
Georgia Southwestern State University,1,5220.0,11000.0,48757.0,0.4064,GA
Ohio University-Zanesville Campus,1,6362.0,15332.0,52581.0,0.216,OH
Northeastern State University,1,7810.0,12000.0,45379.0,0.3536,OK
Maine College of Health Professions,2,20952.0,12000.0,79840.0,0.6667,ME
Laredo College,1,3300.0,2334.0,33934.0,0.3045,TX
Midwestern State University,1,10580.0,13051.0,55747.0,0.4274,TX
Lindenwood University,2,21600.0,20500.0,53278.0,0.4933,MO
Dominican University of California,2,52161.0,24250.0,84713.0,0.7805,CA
Huntingdon College,2,29070.0,20000.0,49601.0,0.4798,AL
Widener University,2,55730.0,24567.0,70920.0,0.6832,PA
Bob Jones University,2,24470.0,12453.0,44354.0,0.6475,SC
University of Akron Wayne College,1,7723.0,15250.0,46600.0,0.1852,OH
Roger Williams University,2,44418.0,19500.0,70266.0,0.6865,RI
Harvey Mudd College,2,68613.0,19500.0,138687.0,0.9188,CA
University of Bridgeport,2,35760.0,19500.0,50323.0,0.4119,CT
Nichols College,2,42705.0,19500.0,58063.0,0.6261,MA
American Baptist College,2,13604.0,19000.0,41216.0,0.3889,TN
Corban University,2,40280.0,17951.0,48917.0,0.6059,OR
East Texas A&M University,1,10026.0,14250.0,50296.0,0.4281,TX
Herzing University-Brookfield,2,13450.0,11756.0,36909.0,0.4167,WI
University of Indianapolis,2,37200.0,18714.0,53610.0,0.5582,IN
University of Wisconsin-Platteville,1,8644.0,15000.0,61760.0,0.5576,WI
Central Baptist College,2,21330.0,12876.0,46789.0,0.3411,AR
University of Mary,2,22356.0,18750.0,60909.0,0.666,ND
CUNY City College,1,7340.0,9775.0,66039.0,0.5682,NY
Lincoln University,1,12512.0,22862.0,43167.0,0.4355,PA
Lone Star College System,1,3330.0,5500.0,42466.0,0.2114,TX
ATA College-Cincinnati,3,14250.0,15834.0,34577.0,0.625,OH
